Name,Count,ProportionFemale
Kristine,67874,0.9974216931372838
Mildred,14403,0.9986808303825592
Mona,16892,0.9994080037887757
Allison,297695,0.9955524950032751
Kristi,70691,0.9980478420166641
Jeannie,18749,0.9982399061283268
Miriam,54672,0.9963784021071115
Lorrie,12361,0.9987056063425289
Jacquelyn,49085,0.9982886828970153
Cecilia,58771,0.9974136904255501
Patrice,23157,0.9677851189705057
Francine,15076,0.9992703634916423
Marian,17219,0.9871072652302689
Lorie,17872,0.9972582811101164
Shannon,336274,0.8535539470788702
Bobbie,33839,0.8941753597919561
Kelley,47686,0.9154468816843518
Rosemarie,15707,1.0
Angie,49949,0.9976175699213198
Georgia,41419,0.9988893985851903
Sabrina,132980,0.9973830651225748
Jana,35959,0.9989154314636113
Emma,456934,0.9986321875807009
Amanda,761701,0.9972075656983515
Heather,518512,0.9971456784028142
Nadine,21389,0.9994857169573145
Irma,17993,0.996554215528261
Kelli,73048,0.9958931113788194
Kerry,71188,0.5702365567230432
Cathleen,15132,0.9996695744118425
Sonia,52962,0.9948453608247423
Jeannette,19024,0.9994217830109335
Gretchen,35087,0.9992019836406646
Antoinette,30634,0.998498400470066
Dora,17809,0.9968555224886293
Clara,59141,0.9989854753893238
Rochelle,32542,0.9933624239444411
Beatrice,22235,0.9993703620418259
Jayne,11069,0.9971090432740085
Rene,52215,0.28583740304510197
Vera,21121,0.999763268784622
Claire,132919,0.9987435957237114
Bonita,9980,0.9993987975951903
Gwen,14606,0.9972613994248939
Faith,120428,0.9980071079815326
Bernice,12990,0.9842956120092379
Gladys,16687,0.9977227782105831
Janis,8789,0.9945386278302424
Paulette,14506,0.9996553150420515
Bertha,12671,0.9979480703969694
Jeanine,15430,0.9992871030460143
Candace,63281,0.997756040517691
Thelma,10558,0.9972532676643303
Candy,20585,0.9958707796939519
Eleanor,67632,0.9996451383960255
Joanna,87617,0.9965075270780784
Marion,26383,0.5423568206799834
Lucinda,16645,1.0
Jennie,24950,0.9974749498997996
Alma,32823,0.9802882125338939
Laurel,26971,0.9919172444477402
Kellie,49127,0.995216479736194
Billie,30640,0.8594321148825065
Faye,11552,0.9994806094182825
Iris,44949,0.9947496051080112
Naomi,98305,0.9986368953766339
Lana,32802,0.9998475702701055
Kristin,173993,0.9908157224715937
Leah,205833,0.9978089033342564
Leticia,38213,0.9943736424776909
Katrina,95737,0.9975140227916062
Leigh,37086,0.9395459202933721
Celeste,45057,0.9992675943804514
Sonja,26027,0.9988857724670535
Jeri,12345,0.989631429728635
Shawn,325229,0.08826703645738848
Pat,10414,0.3072786633378145
Kari,57228,0.9880827566925281
Ella,166210,0.9988628843029902
Della,10584,1.0
Rosie,14042,0.9984332716137302
Dena,23765,0.9976435935198822
Florence,11861,0.9971334626085491
Ida,13577,0.998232304632835
Karin,19277,0.9923743321056181
Ethel,7422,0.9959579628132579
Luann,5458,1.0
Molly,146692,0.9975458784391786
Wilma,7362,0.9986416734582994
Trudy,9488,1.0
Lauri,8404,1.0
Nanette,8544,1.0
Lesa,8814,0.998638529611981
Tara,171335,0.9968307701286953
Kathi,4426,1.0
Lorna,8714,0.9982786320862979
Lucille,20936,1.0
Traci,51180,0.9954474404064088
Debby,4378,1.0
Trina,28567,0.9991248643539749
Cherie,19992,0.9989495798319328
Rosalind,10632,1.0
Adrienne,52206,0.992682833390798
Liz,7088,1.0
Jeannine,10994,1.0
Gay,3901,0.974878236349654
Marcella,18834,0.997716894977169
Monique,76987,0.9951030693493707
Ana,96351,0.9940529937416321
Stella,67230,0.9994347761416035
Polly,8886,1.0
Olga,15187,0.9957858694936459
Lillie,18652,0.9990885695903925
Leanne,24113,1.0
Katie,187517,0.9980055141667156
Maxine,13129,1.0
Lou,5854,0.7494021182097711
Mindy,37744,0.9982248834251801
Willie,103950,0.050784030784030786
Gale,5427,0.724709784411277
Alisa,31750,0.9993070866141732
Christie,39632,0.9932630197819944
Leann,19650,0.9996437659033078
Hazel,48111,0.9947205420797739
Kris,21199,0.4774281805745554
Madeline,130763,0.9987075854790728
Hope,74254,0.9971045330891265
Suzette,11955,0.999581764951903
Deirdre,13446,1.0
Tamra,11265,0.9995561473590768
Janette,16781,0.997497169417794
Susanne,11554,1.0
Cecelia,18781,1.0
Jessica,1042212,0.9965678767851455
Velma,5736,1.0
Tamera,12384,1.0
Dina,27348,0.9972210033640485
Corinne,26468,0.9994332779205077
Jerri,9713,0.9811592710799959
Tracie,31243,0.9930224370258938
Amelia,160532,0.9990531482819625
Celia,20758,0.9992773870315059
Kristen,216363,0.9907193004349173
Dale,95151,0.049636892938592345
Kristy,67017,0.9973290359162601
Valarie,13760,1.0
Verna,5990,0.9931552587646076
Desiree,79171,0.997499084260651
Ladonna,12733,1.0
Lorri,6003,1.0
Marcy,16097,0.9929800583959744
Tammi,12784,1.0
Colette,17132,1.0
Jolene,24365,0.9995074902524113
Rosalie,20534,1.0
Lena,35516,0.9996902804369862
Marguerite,8703,1.0
Rena,13118,0.9961884433602683
Elisa,36575,0.9969651401230348
Dee,8688,0.8196362799263351
Jessie,85978,0.46402568098815977
Jodie,24919,0.939804968096633
Camille,53314,0.9942229058033537
Laverne,5681,0.8070762189755325
Margarita,23487,0.9954442883297143
Sondra,11490,1.0
Barb,2186,1.0
Noreen,6761,1.0
Olivia,442783,0.9985523382785698
Darcy,20607,0.9134760032998496
Lynnette,9910,1.0
Delia,15561,0.9988432620011567
Kerri,35661,0.9905499004514736
Benita,7283,1.0
Angelia,19617,0.9988785237294183
Lenora,8358,1.0
Harriet,6605,1.0
Kathie,4511,1.0
Maryellen,5516,1.0
Daisy,76723,0.9957900499198415
Robbie,22808,0.2747720098211154
Leona,13780,1.0
Hilda,10753,0.9972100809076537
Dixie,11319,0.9960243837794858
Cindi,5406,1.0
Ingrid,20714,0.9991792990248142
Cora,46575,0.9994632313472893
Danette,8152,1.0
Freda,5111,1.0
Mitzi,7900,1.0
Robbin,6361,0.8542681968243987
Janelle,48273,0.9982184658090444
Guadalupe,59219,0.7737043854168426
Helene,5705,1.0
Deana,19627,0.9992866968971315
Deloris,4133,1.0
Elena,70356,0.9987065779748706
Geneva,13492,0.9991847020456567
Viola,7632,1.0
Agnes,7267,1.0
Deanne,10497,0.999523673430504
Marybeth,7331,1.0
Judi,4153,1.0
Kristina,131898,0.9973691792142413
Roseann,5907,1.0
Margo,11897,0.9985710683365554
Mattie,12984,0.9984596426370919
Bobbi,20456,0.9968713335940556
Kimberlee,15318,1.0
Lola,27520,1.0
Randi,25875,0.9668405797101449
Christi,18596,0.998816949881695
Johnnie,29118,0.18871488426402913
Coleen,6486,1.0
Ernestine,4816,1.0
Gayla,5216,0.9988496932515337
Luanne,3027,1.0
Jeanie,7182,1.0
Isabel,87972,0.9923498385850044
Bessie,5223,1.0
Tamela,6165,1.0
Reba,5186,1.0
Rosanne,5003,1.0
Maryanne,5877,1.0
Elisabeth,35357,0.9992363605509518
Bridgette,22604,0.9992921606795258
Denice,6389,1.0
Elise,56727,0.9991890986655385
Alberta,4543,0.9944970283953335
Lea,25446,0.9943016584138961
Myrna,5758,1.0
Pearl,13713,0.9917596441333042
Megan,436560,0.9974711379879054
Nellie,8664,1.0
Sallie,4835,1.0
Debi,1916,1.0
Diann,3455,1.0
Sandi,7213,0.9970885900457507
Alesia,6878,1.0
Annmarie,14698,1.0
Ada,20387,0.9983322705645755
Laureen,3886,1.0
Minnie,4932,1.0
Elsie,18189,1.0
Eugenia,8730,0.9988545246277205
Mae,10396,1.0
Marta,10578,0.9956513518623559
Tonia,19826,0.9973267426611521
Felecia,8600,1.0
Tricia,38452,0.997711432435244
Mari,10932,0.9985364068788877
Flora,7773,0.9993567477164544
Marina,32318,0.9984219320502506
Deidre,12536,0.999122527121889
Marisa,47129,0.9985995883638524
Roxann,5081,1.0
Maura,16308,0.9996934020112828
Claudette,4985,1.0
Ava,269701,0.9989173195501685
Eunice,11194,0.9942826514204038
Saundra,5723,1.0
Maggie,54252,0.9993548624935487
Julianne,23859,1.0
Greta,17000,1.0
Kristie,35402,0.9987571323654031
Clare,17633,0.9921737650995293
Frankie,32648,0.2840909090909091
Rosalyn,10834,1.0
Geri,4644,1.0
Violet,57924,0.9994648159657482
Carlene,5377,1.0
Michael,3079490,0.005535332149154568
Tena,3971,1.0
Gracie,53117,0.9993787299734548
Malinda,12904,1.0
Penelope,59277,0.999544511361911
Brigitte,8184,1.0
Krista,71350,0.9979257182901191
Danielle,367045,0.9948371453091582
Renita,5648,1.0
Melodie,7075,1.0
Dona,3717,0.9967715899919289
Johanna,35658,0.9963822985024399
Nita,3621,1.0
